Student ID,Alex code,Eric code,Joseph code,Sean code,Katie code,Jenny code,,Agreement,Agreed answers,Resolved answers,2nd group resolved answers,final resolution,Comments,Statement,,,
108,qual set,Other,Qual Set,Qual Set,qual Set,qual set,,FALSE,Resolve,qual set,qual set,qual set,,"The data agrees with their data because it falls somewhat within the ranges that their data is in. Trail 4 could be an outlier, but 2.16 and 2.19 are in the lower 2&#39;s. If the student had made a rounding error that can attest to the calculated period being smaller.",,,
113,uncertainty,Other,Qual Set,Qual Set,other,qual set,,FALSE,Resolve,qual set,qual set,qual set,"Concerns about stretching the interpretation of ""range""",The data is not within the range.,,,
124,average,Average,Average,Average,average,average,,TRUE,average,average,average,average,,because even the average of them is higher than that value,,,
128,uncertainty,Uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,"The important thing to do here is to calculate the error for this experiment and to see if the values found during the trials fall into the error margin from the predicted value. In this case, after calculating the error using the standard deviations as was done numerous times during lab, it can be found that they do not and thus, their data did not agree with the prediction.",,,
133,uncertainty,Other,Qual Set,Qual Set,qual set,qual set,,FALSE,Resolve,qual set,qual set,qual set,"Concerns about stretching the interpretation of ""range""",The prediction does not fall within the range of the tested time. ,,,
143,percent error,Percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,Average experimental value is 2.276s. This is a 13.2% deviation - relatively large,,,
144,uncertainty,Uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,The mean and standard error does not include 2.01,,,
152,other,qual set,Other,Qual Set,other,other,,FALSE,Resolve,other,other,other,,period is really the same,,,
158,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,I believe the data does not agree with the prediction because the prediction isn&#39;t within the range.,,,
160,qual set,qual set,Qual Set,Qual Set,other,qual set,,FALSE,Resolve,other,other,other,unclear/unresolveable :(,"While not exact, the data is close to the predicted value and thus they agree.",,,
164,qual set,qual set,qual Set,Other,qual set,other,,FALSE,Resolve,other,other,other,,experimental values to far off ,,,
168,percent error,percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,The percent error between the mean value of the data being 2.276 and the predicted value is only 13% which is relatively small. ,,,
176,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,Average period from trials is much higher,,,
178,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,"The average is 2.238, which is close enough to the predicted value",,,
188,uncertainty,uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,"The mean of their data (2.276s) differs greatly from 2.01s, with a standard deviation of 0.260336 and a standard error of 0.116426. Therefore, their data does not agree with the prediction. ",,,
198,uncertainty,uncertainty,Uncertainty,Qual Set,uncertainty,uncertainty,,FALSE,Resolve,uncertainty,uncertainty,uncertainty,,2.01 is too far away from the average of the data. It has already over the error range.,,,
199,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,By simply taking the average T of the experiment you get 2.276 and that is much larger than the predicted calculated period. ,,,
202,percent error,percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,the data is almost within 10% of the theoretical value,,,
19,none,None,None,None,none,none,,TRUE,none,none,none,none,,jlkwejf,,,
21,average,Average,Average,Average,average,average,,TRUE,average,average,average,average,,Average is 2.096. Difference between that and actual value is 2.01 is 0.086,,,
24,uncertainty,Uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,The value that they predicted was more than two standard deviations away from the mean of the actual result.,,,
25,average,Average,Average,Average,average,average,,TRUE,average,average,average,average,,The average of the trials is not 2.01,,,
26,uncertainty,Uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,her prediction is outside of the average AND error range,,,
45,percent error,Percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,The data does not agree because the percent error is higher than 10%,,,
51,percent error,Percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,because the data is consisitently more than 10% off from the predicted time,,,
74,none,None,None,None,none,none,,TRUE,none,none,none,none,,.,,,
171,percent error,Percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,"Since the average time is 2.096 s, the percent error is only 4.3 %, which is small, so the data agrees with the expected result",,,
200,percent error,Percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,"the percent error between the average of the measured period and predicted period of the pendulum is 11%, which is too big",,,
267,percent error,Percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,"Since the percentage error is about 13%, which isn&#39;t that big.",,,
203,uncertainty,Uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,Uncertainty,uncertainty,,Their data averaged would come out to 2.238. That&#39;s about 1.2 standard deviations off. ,,,
204,qual set,qual set,Qual Set,Qual Set,qual Set,qual set,,TRUE,qual set,qual set,qual set,qual set,,"Although the data was altogether precise, it was far enough from the prediction to not be accurate. ",,,
205,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,The average time is higher than the predicted.,,,
218,uncertainty,uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,"The sample mean is 2.238 while the standard error is 0.754. The mean is more than 3 standard errors away from the predicted value, therefore the data is unlikely to support the prediction.",,,
221,qual set,qual set,Qual Set,Qual Set,qual Set,qual set,,TRUE,qual set,qual set,qual set,qual set,,All her data is larger than the predition.,,,
229,qual set,qual set,Other,Other,qual set,other,,FALSE,Resolve,qual set,qual set,qual set,team cereal agrees on qual set,"The prediction, although there is a notable variance from the measure times, a difference of about 3/10ths of a second, is not enough to warrant the statement that their claim does not agree with the data.",,,
230,percent error,percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,"The average is 2.096sec of this experiment. 0.086sec apart from her prediction. This is about 4.6% error. This is less than 5%, which may be acceptable in a university lab as there might be a small source of error during this experiment. But the result is close to the prediction. ",,,
241,qual set,qual set,Qual Set,Qual Set,qual Set,qual set,,TRUE,qual set,qual set,qual set,qual set,,The data does not agree with the prediction because 2.01 is not even in the race of the five trials that were collected.,,,
246,qual set,qual set,Qual Set,Qual Set,other,qual set,,FALSE,Resolve,qual set,qual set,qual set,close/far,since her prediction is close to the actual results.,,,
251,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,"relatively close, to average. Error could account for different values.",,,
255,uncertainty,uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,"Mean value = 2.238 Standard Deviation = 0.2350 Standard Error = 0.1051 Range of Possible Value = 2.238 +/- 0.1051 sec Thus, data does not agree with the prediction",,,
258,uncertainty,uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,Based on the mean and standard error 2.01 is not included within that range.,,,
259,none,none,None,Other,none,none,,FALSE,Resolve,none,none,none,,agress,,,
263,percent error,percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,Percent error between expected and measured was less than 5%,,,
282,uncertainty,other,Other,Other,other,other,,FALSE,Resolve,other,other,other,"unknown - ""error"" too vague","Looking at the data, the marginal error is too big compared to the scale of the time. ",,,
286,uncertainty,uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,"If we compute the mean and standard error of the gathered data, we see that the time period of the pendulum should be 2.096 +/-0.020. This gives the range of the time period of the pendulum to be 2.076 to 2.106. However her prediction of 2.01 doesn&#39;t lie in the above range. Hence her data doesn&#39;t agree with her prediction.",,,
287,qual set,other,Qual Set,Other,other,qual set,,FALSE,Resolve,other,other,other,"unknown, ""data"" doesn't necessarily mean complete set; team cereal agrees on other for same reasoning",The data is significantly off from 2.01 in the grand scheme of that number.,,,
288,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,The average of the values is 2.10,,,
291,qual set,other,Qual Set,Qual Set,qual set,qual set,,FALSE,Resolve,qual set,qual set,qual set,team cereal agrees on qual set,It is fairly close to the other results,,,
296,uncertainty,uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,The average and SD does not include 2.01,,,
298,uncertainty,uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,uncertainty,uncertainty,uncertainty,,I found the standard error to be 0.0201. The student&#39;s expectations is not within one standard error of the mean.,,,
301,other,other,Other,Uncertainty,qual set,other,,FALSE,Resolve,qual set,other,qual set,what does 2.2-2.3 represent? assuming student saw version 1b,2 is not near 2.2-2.3,,,
306,other,other,Other,Other,other,other,,TRUE,other,other,other,other,,Not close enough,,,
309,uncertainty,other,Uncertainty,Uncertainty,uncertainty,other,,FALSE,Resolve,uncertainty,uncertainty,uncertainty,team cereal agrees on uncertainty,It&#39;s out of the error,,,
314,other,other,Other,Other,other,other,,TRUE,other,other,other,other,,have strong difference,,,
315,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,The reason I say this is because the average of the trials is significantly above the predicted period of the pendulum. ,,,
317,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,The average number is not even close to 2.01,,,
325,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,The values are too far apart to be seen as comparable ,,,
327,qual set,other,Percent Error,Uncertainty,average,other,,FALSE,Resolve,other,other,other,"unknown - possibly average but not sure what ""difference"" refers to, also not sure where the 0.2 came from, was it computed or estimated?; team cereal agrees on other",A difference of more than .2 is a lot when the value is only 2.3,,,
331,other,other,Other,Other,other,other,,TRUE,other,other,other,other,,too different ,,,
332,qual set,other,Other,Other,other,qual set,,FALSE,Resolve,other,other,other,"unknown, ""data"" doesn't necessarily mean complete set; team cereal agrees on other for same reasoning",the data is too off to agree with prediction,,,
337,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,Average is higher,,,
341,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,"The average of all the times are 2.238, which is larger than the 2.01 seconds expected time. ",,,
344,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,"The average of 5 trials came out to be 2.24. Since 2.01 is not far from the actual experimented data, I assumed the data to agree with the prediction. ",,,
351,other,other,Other,Other,other,other,,TRUE,other,other,other,other,,"with those expectations and the design, human error was bound to occur, thus the data becomes less accurate. Thus data must be recorded to accommodate for error",,,
356,uncertainty,other,Uncertainty,Uncertainty,uncertainty,uncertainty,,FALSE,Resolve,uncertainty,uncertainty,uncertainty,team agrees on uncertainty,"No, 2.01 falls outside of the standard error",,,
359,qual set,qual set,Qual Set,Other,qual set,qual set,,FALSE,Resolve,qual set,qual set,qual set,,No data value ever goes below 2.04 which means it can&#39;t be lower. ,,,
362,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,All the values measured for the time period by the student are very close to the predicted value.,,,
363,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,The experimental values are off from the theoretical value,,,
369,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,All data points are greater than what the student said. ,,,
382,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,The average of these trials is more than the prediction of 2.01 seconds. ,,,
383,other,other,Other,Other,other,other,,TRUE,other,other,other,other,,The data does not agree with the prediction,,,
384,qual set,average,Qual Set,Average,other,average,,FALSE,Resolve,average,other,other,final decision: unclear; team agrees on average; team 2 says this is other unknown; extra context needed to answer,The median of the data would be 2.01.,,,
390,other,other,Other,Other,other,other,,TRUE,other,other,other,other,,I used T = 2Pi sqrt(l/g). L = 1 and g = 9.8,,,
392,average,other,Average,Uncertainty,qual set + average,uncertainty,,FALSE,Resolve,other,qual set + average,dual,qual set/average,"While there isn&#39;t a whole lot of information given about this experiment, I believe the data doesn&#39;t agree with the prediction. The prediction of 2.01 s was a minimum of .21 s off, and was .27 s off of the average period. With this in mind, I believe the data doesn&#39;t agree with the prediction, as the data is more than a quarter of a second of from the prediction. A quarter of a second is quite a large difference in time when performing an experiment. I believe that the data would need to be within approximately .05 s of the prediction for me to decide that the data agrees with the prediction. ",,,
395,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,The range of values were all above the predicted value making it more likely that there is systematic error or the prediction is wrong,,,
396,qual set,other,Average,Qual Set,other,other,,FALSE,Resolve,other,other,other,team agrees on other; team 2 says this is unclear,The difference is big between the prediction and measurement.,,,
400,uncertainty,uncertainty,Uncertainty,Uncertainty,other,uncertainty,,FALSE,Resolve,uncertainty,other,uncertainty,t test is in the spirit of uncertainty,"Using a t-test and the null hypothesis mu=2.01 and alternate hypothesis mu=/=2.01, I find a p-value of 0.0109, which is the probability of getting the given results or more extreme under the assumptions that the period is 2.01 seconds. Since this is vary unlikely to be a result of random error, I do not support the prediction and I reject the null hypothesis. There is probably some other factor that creates the difference in results. ",,,
403,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,"all of the data points are above the expected value, if there were some points above and some below i would be more likely to say the data agrees.",,,
412,other,qual set,Qual Set,Qual Set,qual set + other,other,,FALSE,Resolve,qual set,qual set,qual set,qual set,"The data agrees with the prediction, however; the data is not precise. With error, air resistance, etc, it is possible that the data makes sense. Especially since no measurement was significantly faster.",,,
415,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,"The average of their trials is not close enough to the theoretical value to be supporting it. Its close, but not close enough.",,,
422,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,The average time obtained was significantly higher at around 2.08 or 2.09 s,,,
424,average,qual set,Average,Average,qual set + average,dual,,FALSE,Resolve,dual,dual,dual,qual set/average,2.01 is not close to most of the data and the mean,,,
427,percent error,percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,The average value of T comes out to be 2.238 and the error percentage is around 10% which is considerably huge.,,,
434,none,none,None,None,none,none,,TRUE,none,none,none,none,,.,,,
441,qual set,other,Other,Other,other,other,,FALSE,Resolve,other,other,other,unclear,Too large difference,,,
455,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,All the numbers are above the expected,,,
456,average,average,Average,Average,average,average,,TRUE,average,average,average,average,,"The average of the data points comes out at 2.096, which is a lot higher than 2.01, showing that the data leans a lot higher than 2.01.",,,
472,percent error,percent error,Percent Error,Percent Error,percent error,percent error,,TRUE,percent error,percent error,percent error,percent error,,"The student&#39;s average value was 2.096, which is very close to 2.01.It is only a 4 percent error.",,,
475,average,average,Average,Average,qual set + average,average,,FALSE,Resolve,average,qual set + average,dual,qual set/average it's clear they're saying something about the set but idk what,"Firstly, none of the recorded periods is 2.01 seconds. Secondly, if we are to calculate the mean of the trials, the result is 2.23 seconds, which is not 2.01 either. It is definitely arguable, however, that the prediction is correct and that the slight time difference is due to human error.",,,
479,qual set,other,other,Other,other,other,,FALSE,Resolve,other,other,other,unclear,The calculated T value was greater. ,,,
487,uncertainty?,uncertainty,Uncertainty,Uncertainty,uncertainty,uncertainty,,FALSE,Resolve,uncertainty,uncertainty,uncertainty,,The t&#39; of the result and the prediction is greater than 3.,,,
490,other,other,Qual Set,Other,other,other,,FALSE,Resolve,other,other,other,,it&#39;s too small,,,
497,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,Even the minimum value is greater than 2.01 sec,,,
500,qual set,qual set,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,qual set,qual set,qual set,,"It is not close enough, every recorded value is higher. ",,,
1,qual set,0,Qual Set,Other,other,other,,FALSE,other,other,other,other,"""the rule"" is if data is not clearly plural we call it unknown",The data is within a tenth of the expectation and the precission is not specified so it agrees,,,
2,average,0,Average,Average,average,average,,TRUE,average,,,average,,the mean is bigger that her prediction,,,
3,none,0,None,None,none,none,,TRUE,none,,,none,,...,,,
4,other,0,Other,Other,qual set,other,,FALSE,other,other,,other,unclear,The data are too off ,,,
6,average,0,Average,Average,average,average,,TRUE,average,,,average,"There is an off by one error here, don't know how to fix",The average which is close to 2.8 which is quite high than prediction,,,
7,average,0,Average,Average,average,average,,TRUE,average,,,average,,"The average of the data is well above the predicted value, but its hard to tell without error values",,,
8,other,0,Other,Other,other,other,,TRUE,other,,,other,,It does agree with the data because T/2pi= 2pif,,,
9,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,The average for the data set was about 2.09 and the std error was about .016. The expected time is not in this range or close to this range. ,,,
10,qual set,0,Qual Set,Qual Set,qual set,dual,,FALSE,,,dual,qual set,qual set/average,There are 4 data points that are above the the average while only one is below. This imbalance is the main reason why I decided that the data does not agree with the prediction,,,
11,average,0,Average,Average,average,average,,TRUE,average,,,average,,"The data does not agree with the student expectation because the average of the trials is 2.096. Although a very small decimal, 2.096  is significantly larger than 2.01. Her expectation was unrealistic.",,,
16,none,0,None,None,none,none,,TRUE,none,,,none,,z,,,
17,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,All the data are larger than 2.01.,,,
18,other,0,other,Other,other,other,,TRUE,other,,other,other,, it&#39;s close,,,
22,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,All the values are above the expected value,,,
23,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,The data does not agree with the prediction becuase the average of the data is 2.238s and the prediction is not within the standard error of the calculation,,,
27,average,0,Average,Average,average,average,,TRUE,average,,,average,,"The mean is about 2.26, is quite different with 2.01",,,
29,average,0,Average,Average,average,average,,TRUE,average,,,average,,The mean is way different than the prediction.,,,
31,other,0,Other,Other,other,other,,TRUE,other,,,other,,The results don&#39;t really seem to agree with that,,,
32,average,0,Average,Average,average,average,,TRUE,average,,,average,,the mean of the trials is off from the prediction,,,
33,other,0,other,Other,other,other,,TRUE,other,,,other,,The experimental T is very close to the predicted T.,,,
34,qual set,0,Qual Set,Other,qual set,qual set,,FALSE,qual set,qual set,,qual set,,"I think since the data revolves around the actual, it is accurate.",,,
35,uncertainty,0,Average/Uncertainty,Uncertainty,uncertainty,uncertainty,,FALSE,,,dual,dual,average/uncertainty,"Since the average is larger that 2.01, it doesn&#39;t make sense that her prediction is correct. When looking at the standard error it also does not fall in the range which makes it seem in correct",,,
36,none,0,None,None,none,none,,TRUE,none,,,none,, ,,,
38,average,0,Average,Average,average,average,,TRUE,average,,,average,,The average of the five trials is 2.096 seconds for the event to occur and the new time is 2.01 seconds so it is close to the average. It fits.,,,
40,average,0,Average/Qual Set,Other,average,qual set,,FALSE,qual set,qual set,qual set,qual set,,The data is around 30 seconds over their prediction on average.,,,
41,other,0,Qual Set,Qual Set,qual set,qual set,,FALSE,qual set,qual set,,qual set,,expected data did not fall within obtained data,,,
42,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,The distribution curve created by the mean and uncertainty at no point covers the point T= 2.01,,,
43,qual set,0,Qual Set,Other,qual set,qual set,,FALSE,qual set,qual set,,qual set,,The values are off by a significant amount,,,
44,average,0,Average,Average,average,average,,TRUE,average,,,average,,The data does not perfectly fit to the prediction. The average of the data is 2.276.,,,
47,other,0,Other,Other,qual set/other,other,,FALSE,other,other,,other,,As the value could be off due to uncertainties in the experiment.,,,
48,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,"Every single one of the T (sec) is greater than 2.01, thus conveying the data DOES NOT agree with the prediction.",,,
49,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,2.01 sec is lower than any trial value the student measured,,,
50,dual,0,Uncertainty,Dual,qual set/uncertainty,uncertainty,,FALSE,,,,dual,qual set/uncertainty,I don&#39;t think the data agrees with the prediction because all of the data points are over 2.01 and the mean of the data minus the standard error is still greater than 2.01.,,,
52,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,"I calculated the mean/standard error to be 2.10+-0.02, and the value 2.01 does not fall in this range.",,,
53,average,0,Average,Average,average,average,,TRUE,average,,,average,,because the mean of T does not equal to 2.01,,,
54,other,0,Other,Other,other,other,,TRUE,other,,,other,,the data are close,,,
55,average,0,Average,Average,average,average,,TRUE,average,,,average,,The average is around 2.39,,,
56,average,0,Average,Average,average,average,,TRUE,average,,,average,,If a timing requires the precision of 2 decimal places then it does not agree as it is far from the average of the results.,,,
58,qual set,0,Other,Other,qual set,qual set,,FALSE,,qual set,other,qual set,we don't remember the precedent on this terminology,It is close and within the range. ,,,
60,qual set,0,Percent error,Percent Error,percent error,percent error,,FALSE,,dual (qual set + percent error),,dual,qual set/percent error,"the data is off by sometimes more than 5%, meaning it is not accurate ",,,
61,average,0,Average,Average,average,average,,TRUE,,,,average,,The data averages at about 2.096 s,,,
62,average,0,Qual Set,Qual Set,qual set,qual set,,FALSE,,qual set,,qual set,,2.01 is very far off from their actual periods. The difference in the times is actually very drastic ,,,
64,average,0,Average,Average,average,average,,TRUE,average,,,average,,The mean of the data is too far from the predicted value.,,,
65,average,0,Average,Average,average,average,,TRUE,average,,,average,,"It is the average time of all the trials, so I would say it agrees with the prediction.",,,
66,average,0,Average,Average,average,average,,TRUE,average,,,average,,The average of the five trials is 2.276s which is quite different from 2.01s.,,,
67,qual set,0,Other,Other,qual set,other,,FALSE,,qual set,,qual set,,The data leans more towards 2.1 as opposed to 2.01,,,
69,qual set,0,Qual Set,Other,qual set,qual set,,FALSE,qual set,qual set,,qual set,,Most of the data shows that the period is close to 2.125.,,,
70,uncertainty,0,Other,Other,other,uncertainty,,FALSE,other,other,other,other,unclear,"The two numbers are the same, but the error isn&#39;t very high so the data agrees.",,,
71,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,considering that all but one of the trials are greater than the 2.01 value by a significant amount than their data doesnt agree ,,,
72,uncertainty,0,Uncertainty,Uncertainty,uncertainty,uncertainty,,TRUE,uncertainty,,,uncertainty,,The data&#39;s mean and standard error does not include the predicted value.,,,
73,qual set,0,Qual Set,Dual,qual set,dual,,FALSE,,qual set,dual (qual set + uncertainty),dual,qual set/uncertainty,1.99 is outlier and rest of data points are too high even when considering two three confidence intervals.,,,
75,none,0,None,Other,none,none,,FALSE,none,,none,none,,why is both wrong,,,
76,qual set,0,Qual Set,Qual Set,other,uncertainty,,FALSE,,qual set,other,other,unclear - could be percent error but not enough info to be sure,The data appears relatively close to the expected value and does not seem to have a large error.,,,
79,average,0,Average,Average,average,average,,TRUE,average,,,average,,2.01 s is closer to the average value of time-period obtained experimentally. ,,,
80,qual set,0,Qual Set,Qual Set,qual set,qual set,,TRUE,qual set,,,qual set,,Because The T value obtained from the experiments are generally bigger than 2.01s,,,
